id,pro_mentor,age,have_introduction,have_field,num_of_answers,avg_of_answer_score,avg_of_answer_body,num_of_groups,avg_of_group_members,num_of_emails,num_of_tags
003cc21be89d4e42bc4424131a378e86,0,19277,1,1,4,0.0000,463.5000,0,0.0000,0,0
0043412d89f54bb681de74ab7c61e738,0,11576,1,1,0,0.0000,0.0000,0,0.0000,0,1
00458835327245d7bce9103ff114eceb,0,12289,1,1,0,0.0000,0.0000,0,0.0000,45,7
0046ab8089c04b3a8df3f8c28621a818,0,23168,1,1,5,0.4000,347.6000,0,0.0000,3,1
004cb439b2fb4abcbf823380a1170e83,0,11928,1,1,3,0.0000,342.6667,0,0.0000,0,4
004d52842a894cd49d7b55c34ae7b6da,0,15074,1,1,0,0.0000,0.0000,0,0.0000,27,1
00500833ab73411a9c2fa25b8a5e91ba,0,23386,1,1,0,0.0000,0.0000,0,0.0000,29,1
0051705600a84ff8bc69c9188357fb81,0,29501,1,1,0,0.0000,0.0000,0,0.0000,115,3
0053becb71d94164b014a5a7d9673210,0,27509,1,1,2,0.0000,956.5000,0,0.0000,117,6
0056946f0157477d911335e32d070bd5,0,15537,1,1,0,0.0000,0.0000,0,0.0000,15,3
00594d1a266f4907ac93a689203dacd2,0,9403,1,1,0,0.0000,0.0000,0,0.0000,0,4
005b70b5124443a4971cee499eb8225a,0,33785,1,1,0,0.0000,0.0000,0,0.0000,0,1
005cbd7ae54949db98efaa35641a3f17,0,11087,1,1,1,0.0000,917.0000,0,0.0000,6,2
005d656602c64b8ab52e1df5b98eb47b,0,24099,1,1,0,0.0000,0.0000,0,0.0000,0,1
005dfab9314e4be689be072511e3c95e,0,11856,1,1,0,0.0000,0.0000,0,0.0000,0,1
005f69e5497c43d1b523057cf581d1b8,0,23815,1,1,0,0.0000,0.0000,0,0.0000,23,1
00605f901ee44f089b71589dc20e1d92,0,11216,1,1,0,0.0000,0.0000,0,0.0000,0,1
0065131184d7451aa3a6ddcdeb27199a,0,48982,1,1,0,0.0000,0.0000,0,0.0000,245,13
00680f924e8f49d4962876df5b38eb94,1,31551,1,1,3,4.6667,491.3333,0,0.0000,35,3
006cc69970144fa395aa6707b50b4326,0,32094,1,0,0,0.0000,0.0000,0,0.0000,0,0
007255008b1849cda45d671f0df02563,0,15757,1,1,0,0.0000,0.0000,0,0.0000,0,1
0074377f4c4f481aa4b15ee6a37b0771,0,9484,1,1,0,0.0000,0.0000,0,0.0000,1,1
00763d244033403e8989e904350d7dd8,0,23861,1,1,0,0.0000,0.0000,0,0.0000,46,5
0079e89bf1544926b98310e81315b9f1,1,34132,1,1,0,0.0000,0.0000,0,0.0000,3496,9
007a3cc9e340438b96a4f3277866c4a9,0,10208,1,1,0,0.0000,0.0000,0,0.0000,0,1
007b394dac9a40478f09ae04d1c7ba44,0,50235,1,1,0,0.0000,0.0000,0,0.0000,203,16
007bb5563a6c4bb5b57219829f2fd670,0,11888,1,1,0,0.0000,0.0000,0,0.0000,0,1
007c3e74a75049339c0904edcba6ce49,0,52946,1,1,0,0.0000,0.0000,0,0.0000,5,17
007cb80900a84128983451d23c514e34,0,8238,1,1,0,0.0000,0.0000,0,0.0000,0,1
007e521571a248378a7f335fccb67658,0,27850,1,1,3,0.0000,573.3333,0,0.0000,88,8
007f34c3a1f2406b80cab81a0675192e,0,23350,1,1,0,0.0000,0.0000,0,0.0000,27,6
007fae58c99146c98c210526ba30831e,0,9043,1,1,0,0.0000,0.0000,0,0.0000,2,2
0082a7f7a9834612999dfa4c338da164,0,27992,1,1,2,0.0000,739.0000,0,0.0000,59,4
00894b0c1d2a43c0bda8c2ccf9519a56,0,12151,1,1,3,0.3333,544.3333,0,0.0000,25,1
0089d879abb94898af27cfd7b2998f19,0,16947,1,1,1,0.0000,1248.0000,0,0.0000,4,1
008a26bb0e2842efaa1ba6b41723f574,0,15725,1,1,2,0.0000,1239.5000,0,0.0000,0,0
0091194957c34fdea7a3cf3a3935a6a9,0,18560,1,1,0,0.0000,0.0000,0,0.0000,17,1
00976cdf11cc4314adf5ee1471d7c9bf,0,40966,1,0,0,0.0000,0.0000,0,0.0000,0,0
00994985309d40069df62e13276881ed,0,27512,1,1,0,0.0000,0.0000,0,0.0000,4,1
009e7c8c8d9d41f79f809e64cc6e6fd5,0,11490,1,1,1,0.0000,289.0000,0,0.0000,78,3
009edb66cac04815a2e03a07fef38255,0,19195,1,1,1,0.0000,247.0000,0,0.0000,33,1
00a08850b6f943929ae9fe00899ddebd,0,9894,1,0,2,0.0000,1054.0000,0,0.0000,22,5
00a0eaf104ad4d14a9aa351cb856f44a,0,31523,1,1,5,0.4000,1347.8000,0,0.0000,34,4
00a469abcc3a42b8b492892a3d7932c9,0,23398,1,1,0,0.0000,0.0000,0,0.0000,8,1
00a57c675bd34c448ebc2de891046398,0,9894,0,1,3,0.6667,936.6667,0,0.0000,0,2
00a5c1776dee480ebb898a6c633e2cb5,0,46524,1,1,0,0.0000,0.0000,0,0.0000,416,14
00a6467263d742aeb73f1702c57719bd,0,19005,1,1,0,0.0000,0.0000,0,0.0000,9,1
00a975151ee94a4c8414cdd4b9bb3eab,0,14640,1,0,0,0.0000,0.0000,0,0.0000,0,0
00ac92ca1234428b9867d188bb683df4,0,31590,1,1,1,3.0000,1261.0000,0,0.0000,25,1
00af13c6c15f4151b55a19f4707d42d4,0,35369,1,1,0,0.0000,0.0000,0,0.0000,251,6
00b2d3dd12b94c419ed9c851d601685f,0,17416,1,1,0,0.0000,0.0000,0,0.0000,19,1
00b9850b4342419c9d58b3e677added3,0,40787,1,1,0,0.0000,0.0000,0,0.0000,431,37
00bb318519cf405492e407371c8c89a9,0,31592,1,1,0,0.0000,0.0000,0,0.0000,214,5
00bcbb91247145d2874ca9e85a561a24,0,33697,1,1,0,0.0000,0.0000,0,0.0000,53,1
00be9daaa12c475e84571cd4124a086d,1,18472,1,1,3,0.0000,640.0000,0,0.0000,266,17
00c42ce1448a49df8cd9ac0b5475a717,1,33515,1,1,0,0.0000,0.0000,0,0.0000,56,1
00c812a39b9246b58713a6bd81f3f636,0,15193,1,1,0,0.0000,0.0000,0,0.0000,1,1
00c92363141943dbbd21382fac31e033,0,8060,1,1,0,0.0000,0.0000,0,0.0000,0,1
00cbffecde5e4d0496d11f2583451c9e,0,23380,1,1,1,0.0000,37.0000,0,0.0000,20,5
00cc82edf8fc49edbe6b07e4f3e21d74,0,18658,1,1,0,0.0000,0.0000,0,0.0000,0,1
00cd9e8093584827bd4d48670bb5077a,0,69694,0,0,3,2.3333,1209.0000,0,0.0000,0,0
00cde223e95d48cab0b1e2a0ed41ad3e,0,15340,1,1,1,0.0000,134.0000,0,0.0000,4,1
00d597dae0184acd92f4b7dc9447995b,0,19351,1,1,1,0.0000,298.0000,0,0.0000,1,1
00d86e91ac64440aaa41eaf8c1d8a616,0,36218,1,1,0,0.0000,0.0000,0,0.0000,43,1
00dafb4675dd4352b3854e464293e4de,0,51338,1,1,0,0.0000,0.0000,0,0.0000,32,33
00dc90a1e57041479b402117180f4df1,0,15790,1,1,0,0.0000,0.0000,0,0.0000,0,3
00e1d69c40584f249088a368713790f8,0,18750,1,1,0,0.0000,0.0000,0,0.0000,4,1
00e2206c15ba4eb6bf17ed0c6e740e15,0,9029,1,1,0,0.0000,0.0000,0,0.0000,0,0
00e23463efc145cf8e1eb4b2f565f869,0,11757,1,1,1,0.0000,12.0000,0,0.0000,0,1
00ecddc7afda4dcaa87af197291d5a40,0,10856,0,0,0,0.0000,0.0000,0,0.0000,0,0
00f00d0b0e4d4b878b8ff7647e069bd1,0,10709,1,1,0,0.0000,0.0000,0,0.0000,4,1
00f08d957c7848ca85eb11eda4815b20,0,9072,1,1,0,0.0000,0.0000,0,0.0000,7,1
00f10fee3c944428861ded4e4a799a5d,0,34487,1,1,0,0.0000,0.0000,0,0.0000,8,1
00f1e86dc5104fda83467f2dc0e70c1d,0,32045,1,1,2,0.5000,697.0000,0,0.0000,47,3
00f26b5d15544722af494beff5fdbf83,0,23375,1,1,0,0.0000,0.0000,0,0.0000,100,1
00f68e50532546bf81ca2a6d2681fbef,1,14135,1,1,1,0.0000,991.0000,0,0.0000,64,17
00fa8a34fba94a3db96b9f0e7ad1bc7c,0,23334,1,1,0,0.0000,0.0000,0,0.0000,11,1
00fabdcee6ae4c3d9d2dd9751961674e,0,11707,0,0,0,0.0000,0.0000,0,0.0000,0,0
00fdb94c5fd541b098878189fa783c67,0,13925,1,0,0,0.0000,0.0000,0,0.0000,0,0
00ffe0ccee364b1388a1f34304a9c3e5,0,45506,1,1,2,0.0000,1518.0000,0,0.0000,371,13
0100450fe4c64a65a75211e2316aca4c,0,27940,0,0,13,0.0000,341.3077,0,0.0000,0,0
0101d86e04a54d9490c10fd073a98019,0,37056,1,1,1,0.0000,498.0000,0,0.0000,14,2
010607af961d4589b92bc30d82c358f1,0,9222,1,1,0,0.0000,0.0000,0,0.0000,6,1
0108f17f7a584d52b20c9d78988cee26,1,17155,1,1,0,0.0000,0.0000,0,0.0000,94,5
010e26ee78554d1e813809e12ac20e47,0,23374,1,1,0,0.0000,0.0000,0,0.0000,12,1
0114fa18c20640b5b3e9a7b640f0d259,0,18893,1,1,0,0.0000,0.0000,0,0.0000,0,1
0117518866454c4ebdf61797e47afb2d,0,10460,1,1,0,0.0000,0.0000,0,0.0000,2,6
01190c4ccade49d1b15aca30c90564ba,0,8664,1,1,0,0.0000,0.0000,0,0.0000,6,1
011a4e7a65994d4887313b7476c6fdeb,0,33026,1,1,0,0.0000,0.0000,0,0.0000,1,0
011ba724182a4a5f9cd242627fd3a15a,0,35879,1,1,0,0.0000,0.0000,0,0.0000,57,1
011e014093164bb88c2d40f052961c1a,0,51339,1,1,5,0.6000,436.8000,0,0.0000,3,12
01220b6acf574fd0b61d197a7c358ef9,0,31924,1,1,8,0.3750,644.5000,0,0.0000,9,3
01231aa09b8a4207a9968eaf6e9bf58e,0,19680,1,1,1,0.0000,34.0000,0,0.0000,3,1
01232497e5ab4b379e0b5e366666f136,0,16649,1,1,0,0.0000,0.0000,0,0.0000,0,0
012364d1bb374a31b6f495020109a509,0,34228,1,1,3,0.6667,639.0000,0,0.0000,94,3
0123ca4619ea42149b019d13f55d2ab7,0,21110,1,1,1,0.0000,115.0000,0,0.0000,5,4
0126facaedba48199f6af1141f84f791,0,27320,1,1,5,0.6000,455.8000,0,0.0000,0,1
012aad4879e04bfdb1a1b3397b375b89,0,11742,1,1,0,0.0000,0.0000,0,0.0000,0,1
012de91c57f741d49f9feb67bb242b7d,0,21992,1,1,1,0.0000,1695.0000,0,0.0000,53,3
013049e3f59d405993e38d39d774f8fc,0,10610,1,1,0,0.0000,0.0000,0,0.0000,14,1
0131b0a8ad184cd396d64d54afe4434e,0,12443,1,1,0,0.0000,0.0000,0,0.0000,36,10
01334910b1b34eeba5f372d149ea0d2c,0,15023,1,1,0,0.0000,0.0000,0,0.0000,59,1
013e99a00e354cb6ae84d85625607b41,0,18655,1,1,4,0.2500,604.5000,0,0.0000,118,13
013ff8ef2baf448ab82b174ec4f4a9c7,0,30876,1,1,0,0.0000,0.0000,0,0.0000,4,1
0141559a16b04a088e9919ffa58af3bb,0,24309,1,1,0,0.0000,0.0000,0,0.0000,321,3
01446e1edd2349809f2ca208d5ccedee,0,14828,1,1,0,0.0000,0.0000,0,0.0000,33,1
01447a1aa4644388ade9a7da386bdaac,0,12796,1,1,1,0.0000,837.0000,0,0.0000,126,21
01453bab22994399baf7709fcac03525,0,15730,1,1,0,0.0000,0.0000,0,0.0000,3,1
0146ec9b55af4d13889f44cc7ddeff64,0,18990,1,1,0,0.0000,0.0000,0,0.0000,81,2
014af0e07379498483b4a18df659eb28,0,23373,1,1,0,0.0000,0.0000,0,0.0000,18,1
014db43f71174ebfa9e437611a7c2cad,0,12487,0,0,0,0.0000,0.0000,0,0.0000,0,0
014e6ce77ef044469a3513a14bc97765,0,23401,1,1,0,0.0000,0.0000,0,0.0000,1,1
01508f61a5534518bf1457a293346370,0,28348,1,1,0,0.0000,0.0000,0,0.0000,134,3
0154b2ff1b314019b727e9f405608c5b,0,17822,1,0,0,0.0000,0.0000,0,0.0000,0,0
015566745df84c37a923945466cc1cfe,0,15816,1,1,0,0.0000,0.0000,0,0.0000,6,1
0155ffe8cc8e4ec080c8278ee5d097a6,0,9431,1,1,0,0.0000,0.0000,0,0.0000,0,1
01561fe4a065433ba436499d0c2f8aba,0,10098,1,1,0,0.0000,0.0000,0,0.0000,1,1
01564d7bcf454eb9b56f337b9e1d4d12,0,22322,1,1,0,0.0000,0.0000,0,0.0000,12,7
015b17ad7a7d48d7a4ed58deb395125b,0,16321,1,1,0,0.0000,0.0000,0,0.0000,108,8
015c00ffebf044baacc2954a70ee5d04,0,38270,1,1,6,0.0000,730.0000,0,0.0000,272,6
015c0c06f56f4c95b09546c44084f315,0,33725,1,1,8,0.8750,1362.0000,0,0.0000,21,1
015ec14bfb9c4ab4b5be8fff40ac2842,0,31046,1,1,0,0.0000,0.0000,0,0.0000,3,1
0161bf8c2bfc42269ea810165d862225,0,10435,1,0,1,0.0000,283.0000,0,0.0000,0,0
0163496d71ce4078855d6a3c6fba3ae7,0,22543,1,1,0,0.0000,0.0000,0,0.0000,1,1
016521c07ba54afab411f742353852df,0,10097,1,1,0,0.0000,0.0000,0,0.0000,13,1
016522d7980a4016bf17e918c524e464,0,13467,1,1,0,0.0000,0.0000,0,0.0000,0,1
0166e174028843dca3a392053f9732c8,0,35796,1,1,2,0.0000,301.0000,0,0.0000,37,1
0167902d2108431882b538e7cca814cd,0,36482,1,1,0,0.0000,0.0000,0,0.0000,0,0
016a39b2253648af948d915ab30520d2,1,32737,1,1,7,0.2857,2753.1429,0,0.0000,388,12
016e9df628874c34a36abd35002a3ee8,0,8045,1,1,0,0.0000,0.0000,0,0.0000,1,8
016eb951082b49deb4e6f8856d5db726,0,15099,1,1,1,0.0000,728.0000,0,0.0000,41,1
01705c3e614c4ffe8746ccfc82d3408b,0,16418,0,1,0,0.0000,0.0000,0,0.0000,0,1
017389855f534caaa23ffb2bca7da9d2,0,31882,1,1,0,0.0000,0.0000,0,0.0000,6,1
01768015da5942d99c5ecbbefaa82d9e,0,28086,1,1,0,0.0000,0.0000,0,0.0000,59,3
0176c71fceaf4ebc9fa3eed098c867fd,0,11030,1,1,0,0.0000,0.0000,0,0.0000,5,1
01774c68e4f64191999e259e763a82a4,0,20170,1,1,0,0.0000,0.0000,0,0.0000,0,1
017948229ced47b9a630327ca84853ae,0,50066,1,1,6,0.8333,1102.5000,0,0.0000,618,31
0181e96cc85c4077ac71a462e1ca1898,1,29977,1,1,2,0.0000,680.5000,0,0.0000,2,1
0182076c27374f37be2d36648c8cade0,1,16131,1,1,2,0.5000,1268.0000,0,0.0000,60,1
01875948c13b4ff89b5085f6c3a4be7b,0,29430,1,1,0,0.0000,0.0000,0,0.0000,70,4
01884db4dab54a8ea76e92b81f3cb7bd,0,42941,1,1,0,0.0000,0.0000,0,0.0000,117,6
01898fc348d44f6db9ea664e6eacea25,0,11568,1,1,3,0.0000,897.6667,0,0.0000,9,3
018b37345a39476886966bb587de199a,0,50459,1,1,0,0.0000,0.0000,0,0.0000,180,18
0190d1d7e4d54df69c6c4967a576c1dd,0,32233,1,0,12,0.1667,240.5000,0,0.0000,0,0
019641374e2440f49eed76b62dbaa1d2,0,12599,0,1,0,0.0000,0.0000,0,0.0000,0,1
0199b02c029e4bcf8f569bce40e72f24,0,21784,1,1,0,0.0000,0.0000,0,0.0000,0,1
0199f36278b8409890ad18280d6d3b12,0,35550,1,1,6,0.0000,340.3333,0,0.0000,50,1
01a385778a164b229b0d11343560bc21,0,32906,1,0,0,0.0000,0.0000,0,0.0000,0,0
01a3eaa5ffb64b0a828dfeb1991b7aa6,0,15797,1,1,1,0.0000,396.0000,0,0.0000,1,3
01aac4b1a50046ee8e6d4f30ff70efe9,0,21313,1,1,0,0.0000,0.0000,0,0.0000,1,1
01aae6d01b5549f999dec03bf1b5eb5a,0,23978,1,1,1,0.0000,754.0000,0,0.0000,6,1
01ab597be9c64f578049e99876b0b572,0,25556,1,1,3,0.0000,536.0000,0,0.0000,17,2
01ab5eef142d4fe38517625a8a25b480,0,11786,0,1,0,0.0000,0.0000,0,0.0000,0,1
01abcf2f5d1448cdb89d80fa402ce243,0,16469,1,1,0,0.0000,0.0000,0,0.0000,72,1
01afa970b8b24a76b017b5ac23efdf66,0,11761,1,1,2,0.0000,956.0000,0,0.0000,6,4
01b3e033848b41f6b7a55cefc59ba61a,0,70267,0,0,3,2.3333,1427.6667,0,0.0000,66,2
01b504987f584b5f931bc572cafe9ec8,0,12440,0,1,0,0.0000,0.0000,0,0.0000,0,1
01b8333db0ed420c865624e8984ef6ed,1,30902,0,0,12,0.2500,4738.9167,0,0.0000,0,0
01b854103c5c497e882ba23f474c3ef8,0,31947,1,1,0,0.0000,0.0000,0,0.0000,13,2
01b8ec9de54f4f1ba790629631c32981,1,9606,1,1,1,0.0000,2981.0000,0,0.0000,0,5
01b97ca1d76a4cd4af5907d17cbb7da4,0,20529,1,1,14,0.5000,1421.7143,0,0.0000,263,16
01bee84e2e8c491092f24d02c135e0e0,0,37061,1,1,4,0.0000,516.2500,0,0.0000,261,4
01c047c0df1740c08ede3f4a4076b573,0,23329,1,0,5,0.0000,575.0000,0,0.0000,56,2
01c06b44972c4ed1a12386abb31d5e9a,0,40376,1,1,7,0.0000,472.2857,0,0.0000,13,1
01c0de6835fa4a3bab76a8158a02ae3e,1,32474,1,1,9,0.7778,824.3333,0,0.0000,90,4
01c59af5409245fd8bc4d0e2486db868,0,23404,1,1,0,0.0000,0.0000,0,0.0000,6,1
01c6c472c8f243e9b84a07a5b4eeb3a4,0,18933,1,1,1,0.0000,48.0000,0,0.0000,0,0
01c6e0b6fd6143d2a8cf9c91ddf9fd20,0,31551,1,1,0,0.0000,0.0000,0,0.0000,39,5
01c7ff8575bc4c0e80c71e7156468d65,0,19373,1,1,0,0.0000,0.0000,0,0.0000,0,1
01cc1ac530594c24aa0004537432648c,0,24053,1,1,0,0.0000,0.0000,0,0.0000,1,1
01ce7cac32ae442b914103fe11279052,0,15469,1,1,0,0.0000,0.0000,0,0.0000,1,1
01d3de8d5d6641ebb49b29153a6b795c,0,57112,0,0,5,1.2000,307.0000,0,0.0000,0,0
01d5029152cf435b971ad26df55c0b45,0,33262,1,1,1,1.0000,77.0000,0,0.0000,0,0
01d6a7d380cd4e79bdc574783fba760d,0,31014,1,1,11,0.0909,1236.6364,0,0.0000,2,0
01d831bec6614c35968018823a6074c4,0,44833,1,1,2,0.0000,576.0000,0,0.0000,137,15
01d85b9badfb44f2954b5990c668556e,0,19656,1,1,15,0.2000,1326.5333,0,0.0000,127,11
01df96a2c59942c595dea4dd81f80c26,0,31920,1,1,0,0.0000,0.0000,0,0.0000,70,5
01e03c007867493fb83802a1295de88c,0,33222,1,1,0,0.0000,0.0000,0,0.0000,633,7
01ecdb9aee1c4179a5e51966e2585ea7,0,33686,1,1,0,0.0000,0.0000,0,0.0000,51,4
01f41246b5f445478ef8df2f3f7e787d,0,27360,1,1,1,0.0000,528.0000,0,0.0000,30,13
01f915c1240e459aa2876acef4fdb7ca,0,12992,1,1,0,0.0000,0.0000,0,0.0000,0,6
01fabdd9f9284a74bb8f586298128c13,0,31854,1,1,0,0.0000,0.0000,0,0.0000,32,1
01fe7f41ed474d57a879d04208be1445,0,10710,1,1,0,0.0000,0.0000,0,0.0000,0,9
020067837d4541efba2bce809801f93b,0,10919,1,1,0,0.0000,0.0000,0,0.0000,1,1
020288dec7154fdc93b7d27bc480df95,0,18247,1,1,0,0.0000,0.0000,0,0.0000,16,1
020337eefa854accb2d6d1eeb8322c8c,0,8863,1,1,1,0.0000,194.0000,0,0.0000,1,2
020440c2606c49cd9d7b92d0e92e6b9e,0,11820,1,0,2,0.0000,19.5000,0,0.0000,0,0
020dff39a7da410aa9249c0c273ea98a,0,19831,1,1,1,0.0000,611.0000,0,0.0000,1,3
020fa2ac75664aca8dbd35a61521f275,0,10615,1,1,0,0.0000,0.0000,0,0.0000,1,2
02100279379d4394bbbb9eda55ad1cd8,0,25659,1,1,0,0.0000,0.0000,0,0.0000,160,3
0210dd8d729a42a1a593ed9df912f169,0,12355,1,1,0,0.0000,0.0000,0,0.0000,24,1
02157deabff744da87000d0d32f61363,0,35781,1,1,0,0.0000,0.0000,0,0.0000,8,1
0217caea97934e01869d4c88efbc3023,0,8363,1,1,0,0.0000,0.0000,0,0.0000,7,1
0218bcdfa3bf42808d25371bccef117a,0,17578,1,0,0,0.0000,0.0000,0,0.0000,0,0
021902e4d93e4bd59d329fc11ab2b627,0,23763,1,1,0,0.0000,0.0000,0,0.0000,20,1
021aa245d4fc477e81c5892bc5b9689c,0,48198,1,1,0,0.0000,0.0000,0,0.0000,196,13
021b63f02761454d921c2d3f023eae6f,0,23309,1,1,0,0.0000,0.0000,0,0.0000,9,1
0220906d34d14de19d8c9a7a9e4dba7e,0,12600,1,0,0,0.0000,0.0000,0,0.0000,0,0
0220fd7c970248578d5100b898e6f7d3,1,34474,1,1,3,0.3333,2279.3333,0,0.0000,56,1
02229d42925b4817a44d6fcc208f79ef,0,27417,1,1,5,0.4000,735.8000,0,0.0000,298,6
0222a33a2fd645d1bac022cd859929e3,0,14959,1,1,0,0.0000,0.0000,0,0.0000,0,1
0226dc97ac4f4271b35c7bdb0b67d524,0,27993,1,1,0,0.0000,0.0000,0,0.0000,246,8
0227e09c9b7c490e871a8b326030cb9e,0,12096,1,1,1,0.0000,269.0000,0,0.0000,0,2
0227fb3a750542bcac90033e7ddfdc28,0,12080,0,0,0,0.0000,0.0000,0,0.0000,0,0
0229e426162a486ca78ae6ae355f8046,0,9579,1,1,0,0.0000,0.0000,0,0.0000,24,1
022a58b0ca4c402989f4999aebf2a1a2,0,16151,1,1,0,0.0000,0.0000,0,0.0000,48,6
022f3fba1f8c44149143920bd989a87f,0,11216,0,0,0,0.0000,0.0000,0,0.0000,24,6
022f463576294ee19b022e573e84d61d,0,28223,1,1,0,0.0000,0.0000,0,0.0000,77,5
023078113f124703b44544d2e66af529,0,12384,1,1,0,0.0000,0.0000,0,0.0000,1,1
0231444f0c99404a939934a502f12b2b,0,22894,1,1,0,0.0000,0.0000,0,0.0000,8,6
0236e0578984470c8c318fc7e8a015d9,0,22589,1,1,0,0.0000,0.0000,0,0.0000,5,1
023745a81bb2466cba04e94a9a103cbb,0,33643,1,0,0,0.0000,0.0000,0,0.0000,0,0
023b5c57074140c7b9b4cb54378a3099,0,33276,1,1,0,0.0000,0.0000,0,0.0000,33,1
023b90b6c2924d2b97ef00c96c8759a9,0,11783,1,1,0,0.0000,0.0000,0,0.0000,0,5
023cafd5effd4560a0900b9ad1414fe6,0,23386,1,1,0,0.0000,0.0000,0,0.0000,47,1
023eab2d338f47d29277593ad77e42e7,0,14243,1,1,0,0.0000,0.0000,0,0.0000,1,9
023fff1aca8d4764924b5899225b4fef,0,12096,1,1,2,0.5000,277.5000,0,0.0000,0,2
0241f8d54f844464a09e29f8089336e9,0,23341,1,1,0,0.0000,0.0000,0,0.0000,13,1
02434213fd87472c887234412a10c51f,0,32154,1,1,0,0.0000,0.0000,0,0.0000,22,1
0243f20cc62f44b9b5b6fce1b46e817d,0,11777,1,1,0,0.0000,0.0000,0,0.0000,0,0
02449547a0c24aa0876b1ad16d76112d,0,46377,1,1,5,0.2000,97.6000,0,0.0000,59,1
024593fc818e465381872dd733aea204,0,31992,1,1,0,0.0000,0.0000,0,0.0000,0,1
024c8fb73e2741fc9e2233abffbc15b6,0,13640,1,1,0,0.0000,0.0000,0,0.0000,37,2
024e2b158e904d818a2ff496c74977c4,0,23405,1,1,0,0.0000,0.0000,0,0.0000,0,1
025a59047228405bb6d56dcd4d8e8760,0,16420,1,1,0,0.0000,0.0000,0,0.0000,1,1
025ba5b3c1264e3596d2637fedfc4bed,0,20169,1,1,2,0.5000,1288.0000,0,0.0000,71,9
026054c2f85446d8a06b26713a4a78ba,0,19083,1,1,0,0.0000,0.0000,0,0.0000,47,8
0260da12e68745b9b65ae638c9e2a1dc,0,30227,1,1,0,0.0000,0.0000,0,0.0000,25,1
02612c8ebcee4a3bbe1aaf05573384c7,0,14263,1,1,1,0.0000,446.0000,0,0.0000,80,10
026147c7277d4c85b6b76cf37ff33844,0,13135,0,0,0,0.0000,0.0000,0,0.0000,0,0
02651848694a4b9a991b96db99fc9ff3,0,15384,1,0,0,0.0000,0.0000,0,0.0000,0,1
0265d9d6461e4698b6e6ff3d7c99dcba,0,15750,1,1,0,0.0000,0.0000,0,0.0000,20,4
026834c9fd714557986554b856554ce4,0,13302,1,1,0,0.0000,0.0000,0,0.0000,4,1
026b656621524f83bab06bbd719dd5bf,0,22974,1,1,1,0.0000,343.0000,0,0.0000,0,1
026b7858e8b64f1d8645503282ea37dc,0,12096,1,1,0,0.0000,0.0000,0,0.0000,0,1
026d8c7373f74aca97b95d42f164ae97,0,31757,1,1,0,0.0000,0.0000,0,0.0000,105,6
0270be74335147809ff663978539e31e,0,13462,1,1,0,0.0000,0.0000,0,0.0000,1,1
0270dd382cdd4ac281f00e865ad92204,0,28349,1,1,3,0.6667,2119.6667,0,0.0000,216,11
027127e3184c4b7ca1e7510ad590f4ae,0,11019,1,1,0,0.0000,0.0000,0,0.0000,69,4
0272851bf0424b508e6597d45ae71d8d,0,10707,1,1,0,0.0000,0.0000,0,0.0000,3,5
0272b51a51c54217b62e920286c8c0ca,0,22992,1,1,0,0.0000,0.0000,0,0.0000,15,1
02741707c02c48f4b7be5c2112f57668,0,11760,0,1,0,0.0000,0.0000,0,0.0000,0,1
